CMDLINE python3 thread/client.py
MEM 27.328125 1729535400.1221
MEM 27.328125 1729535400.2268
MEM 27.328125 1729535400.3319
MEM 27.328125 1729535400.4371
MEM 27.328125 1729535400.5381
MEM 27.328125 1729535400.6432
MEM 27.328125 1729535400.7484
MEM 27.328125 1729535400.8505
MEM 27.328125 1729535400.9556
MEM 27.328125 1729535401.0608
MEM 27.328125 1729535401.1626
MEM 27.328125 1729535401.2672
MEM 27.328125 1729535401.3724
MEM 27.328125 1729535401.4776
MEM 27.328125 1729535401.5827
MEM 27.328125 1729535401.6834
MEM 27.328125 1729535401.7860
MEM 27.328125 1729535401.8911
MEM 27.328125 1729535401.9934
MEM 27.328125 1729535402.0935
MEM 27.328125 1729535402.1946
MEM 27.328125 1729535402.2990
MEM 27.328125 1729535402.4024
MEM 27.328125 1729535402.5076
MEM 27.328125 1729535402.6106
MEM 27.328125 1729535402.7157
MEM 27.359375 1729535402.8208
MEM 27.359375 1729535402.9259
MEM 27.359375 1729535403.0310
MEM 27.359375 1729535403.1323
MEM 27.359375 1729535403.2357
MEM 27.359375 1729535403.3408
MEM 27.359375 1729535403.4459
MEM 27.359375 1729535403.5511
MEM 27.359375 1729535403.6562
MEM 27.359375 1729535403.7614
MEM 27.359375 1729535403.8665
MEM 27.359375 1729535403.9730
MEM 27.359375 1729535404.0781
MEM 27.359375 1729535404.1826
MEM 27.390625 1729535404.2876
MEM 27.390625 1729535404.3927
MEM 27.390625 1729535404.4958
MEM 27.390625 1729535404.6010
MEM 27.390625 1729535404.7015
MEM 27.390625 1729535404.8066
MEM 27.390625 1729535404.9075
MEM 27.390625 1729535405.0095
MEM 27.421875 1729535405.1105
MEM 27.468750 1729535405.2113
MEM 27.468750 1729535405.3141
MEM 27.468750 1729535405.4149
MEM 27.468750 1729535405.5201
MEM 27.468750 1729535405.6252
MEM 27.468750 1729535405.7283
MEM 27.468750 1729535405.8288
MEM 27.468750 1729535405.9338
MEM 27.468750 1729535406.0381
MEM 27.406250 1729535406.1438
MEM 27.390625 1729535406.2460
MEM 27.390625 1729535406.3470
MEM 27.390625 1729535406.4522
MEM 27.390625 1729535406.5573
MEM 27.390625 1729535406.6624
MEM 27.390625 1729535406.7675
MEM 27.390625 1729535406.8727
MEM 27.390625 1729535406.9778
MEM 27.390625 1729535407.0803
MEM 27.390625 1729535407.1855
MEM 27.390625 1729535407.2893
MEM 27.390625 1729535407.3944
MEM 27.390625 1729535407.4996
MEM 27.390625 1729535407.6047
MEM 27.390625 1729535407.7098
MEM 27.390625 1729535407.8150
MEM 27.390625 1729535407.9201
MEM 27.390625 1729535408.0206
MEM 27.390625 1729535408.1257
MEM 27.390625 1729535408.2308
MEM 27.390625 1729535408.3360
MEM 27.390625 1729535408.4411
MEM 27.390625 1729535408.5447
MEM 27.390625 1729535408.6509
MEM 27.390625 1729535408.7560
MEM 27.390625 1729535408.8576
MEM 27.390625 1729535408.9627
MEM 27.390625 1729535409.0678
MEM 27.390625 1729535409.1701
MEM 27.390625 1729535409.2732
MEM 27.390625 1729535409.3763
MEM 27.390625 1729535409.4800
MEM 27.390625 1729535409.5825
MEM 27.390625 1729535409.6876
MEM 27.390625 1729535409.7901
MEM 27.390625 1729535409.8937
MEM 27.390625 1729535409.9970
MEM 27.390625 1729535410.1024
MEM 27.390625 1729535410.2066
MEM 27.390625 1729535410.3117
MEM 27.343750 1729535410.4169
MEM 27.343750 1729535410.5211
MEM 27.343750 1729535410.6262
MEM 27.343750 1729535410.7313
MEM 27.343750 1729535410.8352
MEM 27.359375 1729535410.9403
MEM 27.359375 1729535411.0439
MEM 27.359375 1729535411.1476
MEM 27.359375 1729535411.2527
MEM 27.359375 1729535411.3578
MEM 27.359375 1729535411.4614
MEM 27.359375 1729535411.5665
MEM 27.359375 1729535411.6716
MEM 27.359375 1729535411.7730
MEM 27.359375 1729535411.8777
MEM 27.359375 1729535411.9827
